,order_date,sku,online_brand,online_name,online_category,online_subcategory,total_qty_ordered,total_qty_returned,total_qty_refunded,total_qty_canceled,unit_original_price,unit_sale_price_exc_vat,total_nmv_exc_vat,discount_amt_bfr_CR,total_discount_amount,total_discount_coupon,total_discount_on_top,total_amount_the1_reedeem,GP
3025,17/10/2021,83737138,KERASTASE,Multi-usage Oil for Extremely Shiny Hair and Anti frizz 100 mL. - Elixir Ultime Original Versatile Beautifying Oil,tion-campaign,flash-deal-5-jul-22,3,0,0,1,1530,1286.92,2573.84,0,0,NA,NA,0,739.18
3026,7/11/2021,21646317,KEED,แว่นตาว่ายน้ำ MU Free Size,sports,accessories,1,0,0,0,690,548.6,548.6,0,0,NA,NA,0,215.44
3027,4/1/2022,530708,MARCO POLO,Black FM183842 BK,men,eyewear,1,0,0,0,8290,887.85,887.85,0,0,NA,NA,0,256.5
3028,25/10/2021,75908423,SHISEIDO,Men Face Cleanser 125 mL,beauty,mens-grooming,1,0,0,0,990,832.71,832.71,0,0,NA,NA,0,186.99
3029,20/5/2022,890117,TOMMY HILFIGER,LOGO PRINT BUCKET HAT AW0AW10186 YBR MULTI COLOR,women,hat-hair-accessories,1,0,0,0,2590,1210.28,1125.56,84.72,84.72,NA,NA,0,271.95
3030,8/4/2022,86409193,CERTAINTY,Adult Wipes Dark Blue,home,eldery-care,3,0,0,0,99,92.52,253.03,24.53,24.53,NA,NA,0,11.47
3031,30/3/2022,8563453,BIOTHERM,FS LIQUID EYES T15,beauty,mens-grooming,1,0,0,0,2200,1850.47,1850.47,0,0,NA,NA,0,421.6
3032,30/1/2022,70180701,TEFAL,High Speed Blender (2L) BL811 Perfect Mix+,tion-campaign,flash-deal-6-jul-22,4,0,0,0,5990,2233.64,7307.12,1627.44,1627.44,1116.82,175.57,0,569.31
3033,8/12/2021,86456845,BIOTHERM,CERA REPAIR CR 50ML,tion-campaign,flash-deal-3-jul-22,8,0,0,1,2100,1668.22,10979.31,698.23,698.23,NA,NA,532.9,1431.87
3034,24/10/2021,84040039,SANRIO_LOCAL,สายคล้องหน้ากากXO MASKSTRAP 2,women,personal-accessories,3,0,0,0,179,83.18,207.18,42.36,42.36,NA,NA,0,141.18
3035,17/9/2021,21382673,HUGGIES,PLATINUM GIFT SET SPJ 1X2,kids,baby-sets,2,0,0,1,1499,700.93,630.84,70.09,70.09,NA,NA,0,334.1
3036,29/4/2022,17062244,Lifree,Rehabili Pants White Size XL ,home,eldery-care,3,0,0,0,1647,1400.93,3922.61,280.18,280.18,NA,NA,0,224.15
3037,14/10/2021,32844573,FITBIT,VERSA 3 MIDNIGHT GOLD,gadgets-tech,wearable-gadgets,1,0,0,0,9190,7467.29,6439.25,1028.04,1028.04,560.75,467.29,0,528.58
3038,15/12/2021,70208764,PiPPER STANDARD,น้ำยาล้างห้องน้ำฆ่าเชื้อ400,tion-campaign,flash-deal-7-jul-22,2,1,0,0,189,139.25,278.5,0,0,NA,NA,0,204.31
3039,1/6/2022,70653670,SANRIO,ผ้าพันคอ KT GEOMETRIC 95X95,women,scarves-gloves,1,0,0,0,995,929.91,929.91,0,0,NA,NA,0,729.97
3040,26/1/2022,14116568,PIGEON,BABY WIPES CHAMOMILE 82 PCS P9,tion-campaign,flash-deal-7-jul-22,20,0,0,0,555,518.69,8878.68,1495.12,1495.12,1035.4,459.72,0,1864.88
3041,12/12/2021,80848950,FOREO,LUNA go for oily skin,tion-campaign,flash-deal-3-jul-22,3,0,0,1,3780,2826.17,4477.58,1527.59,1174.76,678.28,496.48,0,287.79
3042,12/12/2021,83737138,KERASTASE,Multi-usage Oil for Extremely Shiny Hair and Anti frizz 100 mL. - Elixir Ultime Original Versatile Beautifying Oil,tion-campaign,flash-deal-5-jul-22,7,0,0,0,1530,1286.92,8112.27,896.17,896.17,450.37,230.87,0,2608.29
3043,19/12/2021,46241702,marks___spencer_online,Digestive,home,groceries-2,5,0,0,1,89,83.18,298.5,34.22,34.22,NA,NA,23.12,115.9
3044,29/12/2021,84725868,GQ,Smart Clean 170-222434 Red,women,personal-accessories,4,0,0,0,99,92.52,238.54,131.54,131.54,NA,NA,0,13.28
3045,22/4/2022,MJT50783588,MUJI,Polycarbonate Ball Point Pen PLBALLPEN07 ,jewelry-watches,pens,1,0,0,0,35,28.97,28.97,0,0,NA,NA,0,NA
3046,10/3/2022,1094687,xtivepro,Black PE Classic Kettlebell Dumbbell 6KG,sports,equipments,1,0,0,0,859,354.21,354.21,0,0,NA,NA,0,56.85
3047,30/5/2022,90050282,CLARINS,Double Serum & Double Serum Eye Set,tion-campaign,flash-deal-6-jul-22,1,0,0,0,8150,7616.82,6568.55,1048.27,1048.27,914.02,134.25,0,1405.11
3048,25/9/2021,84039996,SANRIO,Hello Kitty Mark Strap Red,women,personal-accessories,4,0,0,2,179,83.18,166.36,0.94,0,0,0.94,0,122.36
3049,22/12/2021,362800,MARCO POLO,Brown  SMRS7030 C3,men,eyewear,1,0,0,0,6690,906.54,906.54,0,0,NA,NA,0,261.9
3050,17/4/2022,16814509,CERTAINTY,Super Pants Super Save Size M 20 pcs x 4 pack,home,eldery-care,1,0,0,0,1624,1392.52,1169.8,222.72,222.72,NA,NA,0,112.87
3051,23/9/2021,84160355,marks___spencer_online,4 Berry Musli Wholegrain High In Fibre,home,groceries-2,1,0,0,0,349,326.17,326.17,0,0,NA,NA,0,206.48
3052,25/10/2021,530693,MARCO POLO,Matt Blue SMRE 5808 C5,men,eyewear,1,0,0,0,5990,925.23,925.23,0,0,NA,NA,0,267.3
3053,11/11/2021,84725868,GQ,Smart Clean 170-222434 Red,women,personal-accessories,2,0,0,0,99,92.52,169.02,16.02,16.02,8.45,7.57,0,6.44
3054,21/3/2022,1094693,xtivepro,Pink TPR Adjustable Dumbbell 2pcs,sports,equipments,2,0,0,0,929,485.05,933.82,36.28,36.28,NA,NA,12.87,155.7
3055,2/9/2021,553799,ADIDAS,adidas FOOTBALL/SOCCER Real Madrid 20/21 Third Jersey Men Black GE0933,sports,apparels,1,0,0,0,2800,785.05,785.05,0,0,NA,NA,0,100.8
3056,22/9/2021,17062244,Lifree,Rehabili Pants White Size XL ,home,eldery-care,9,0,0,1,2196,1400.93,9899.59,1475.96,1307.85,672.45,467.29,0,37.03
3057,9/11/2021,34414385,CUIZIMATE,ตะกร้าเหลี่ยมลายหวายP4BR OL,tion-campaign,flash-deal-3-jul-22,1,0,0,0,995,298.13,298.13,0,0,NA,NA,0,422.73
3058,11/6/2022,86813853,SKULLCANDY,หูฟัง IN EAR CORAL PINK,gadgets-tech,audio-hifi,1,0,0,0,2990,1859.81,1823.71,36.1,36.1,NA,NA,38.63,776.81
3059,14/12/2021,34468241,HAVEN,Memory Foam Neck Pillow 30X90cm GN,sports,accessories,2,0,0,0,495,167.29,316.94,17.64,17.64,NA,NA,18.88,85.9
3060,30/4/2022,46241665,marks___spencer_online,Custard Creams,home,groceries-2,1,0,0,0,59,46.87,46.87,0,0,NA,NA,0,28.74
